1597	strange new bioculture forming on other end of office	strange new bioculture forming on other end of office, may demand its own water cooler
25699	'change!' insane man in windowless apartment announces to cockatoo	'change!' insane man in windowless apartment announces to imaginary cockatoo
11246	oxford english dictionary to add 'skype' and 'tweet' to latest edition	oxford english dictionary to add 'skype' and 'tweet' to latest edition, making it even more irrelevant
20364	hbo announces 'game of thrones' not coming back 	hbo announces 'game of thrones' not coming back, fans struggle to find new reason to procrastinate
18741	"trump refuses to read headline beyond words ""4-year-old collusion investigation forced to"""	Trump refuses to read headline beyond words "4-year-old discovers infinite ice cream supply"
2541	technical, barely staffed preschool teaches welding to kids	technical, barely staffed preschool teaches naptime to kids
16770	'it's like biggie and tupac all over again,' says obama of korean conflict	'it's like biggie and tupac all over again,' says obama, causing mass confusion
16625	narcissist fails to find symptoms in diagnosis	narcissist fails to find symptoms in reflection
26271	buccaneers inform jeff garcia that the team no longer wanted him	buccaneers inform jeff garcia that the team no longer has a need for his stellar pirate impersonations
23061	cartier to give cologne another shot	cartier to give cologne another shot, hopes people will stop holding their breath
3727	elite congressman caught giving oral sex to a spalding basktball	elite congressman caught giving oral support to a spalding basketball
2172	underground railroad carried slaves from mississippi to manhattan	underground railroad carried lost tourists from mississippi to manhattan
12926	google launches 'the goggles' for older adults	google launches 'the goggles' to help older adults find their reading glasses
14767	highschool teacher constantly abused vulnerable students	high school teacher constantly abuses vulnerable students in Scrabble tournaments
15139	congress approves $500 billion for monument to human trafficking victims	congress approves $500 billion for monument to Congress' inability to prioritize properly
9567	american citizens split on doj memo authorizing government to kill 	american citizens split on doj memo authorizing government to kill your vibe
18258	nation's lower class still waiting for representation by either presidential candidate	nation's lower class still waiting for representation by either presidential candidate, or at least a coupon for a free pizza
4876	fallout shelter been found in a man's backyard	man discovers secret underground lair for squirrels in his backyard
3481	engagement photographer really pushing 'vintage'	engagement photographer really pushing 'vintage' like it's a fine wine
24183	hotel's tv channels memorized by frequent fliers	hotel's TV channels ignored by frequent fliers
20356	obama narrowly misses performance bonus this quarter	obama narrowly misses performance bonus: White House to replace with participation trophy
20707	mariners improve to eight games over 500	mariners improve to eight games over "sea" level
8078	wheelchair-bound student would have preferred to drive a rally car	wheelchair-bound student wishes they could drift a rally car
19979	intern sent to testify before congress	intern sent to testify before congress, immediately requests bathroom break
3560	"kick off your summer right with a chesapeake bay krill bake	"kick off your summer right with a chesapeake bay krill barbecue feast
3977	charlotte bobcats seeded 7th in tournament	charlotte bobcats seeded 7th in tournament, still considered underdogs to middle school team
3779	new high school alumni make successful use of graduation advice	new high school alumni make surprisingly successful use of graduation advice to take naps
4242	study: 80% of waking hours spent without memory	study: 80% of waking hours spent without memory of where you left your keys
12886	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar	hoping to break slump, Rickie Weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar, and his own baseball bat
