1597	strange new bioculture forming on other end of office	strange new bioculture forms in fridge at other end of office
25699	'change!' insane man in windowless apartment announces to cockatoo	'change!' insane man in windowless apartment announces to his only friend, a cockatoo
11246	oxford english dictionary to add 'skype' and 'tweet' to latest edition	oxford english dictionary succumbs to peer pressure, adds 'skype' and 'tweet' to latest edition
20364	hbo announces 'game of thrones' not coming back 	hbo announces 'game of thrones' not coming back, viewers prepare for life again
18741	"trump refuses to read headline beyond words ""4-year-old collusion investigation forced to"""	"trump can't read past words '4-year-old' in headline about collusion investigation"
2541	technical, barely staffed preschool teaches welding to kids	technical, barely staffed preschool introduces naptime welding to toddlers
16770	'it's like biggie and tupac all over again,' says obama of korean conflict	'it's like biggie and tupac all over again,' says obama of korean conflict
16625	narcissist fails to find symptoms in diagnosis	narcissist fails to find own reflection in diagnosis
26271	buccaneers inform jeff garcia that the team no longer wanted him	buccaneers break up with jeff garcia via post-it note
23061	cartier to give cologne another shot	cartier to give cologne another shot, hopes it doesn't smell like money this time
3727	elite congressman caught giving oral sex to a spalding basktball	elite congressman caught practicing mouth-to-mouth resuscitation on a spalding basketball
2172	underground railroad carried slaves from mississippi to manhattan	underground railroad carried slaves from mississippi to manhattan, charged outrageous fares
12926	google launches 'the goggles' for older adults	google launches 'the granny goggles' for technologically challenged older adults
14767	highschool teacher constantly abused vulnerable students	dr. phil constantly abused vulnerable students
15139	congress approves $500 billion for monument to human trafficking victims	congress approves $500 billion for monument to human indecisiveness
9567	american citizens split on doj memo authorizing government to kill 	american citizens divided on new 'government kill switch' memo from doj
18258	nation's lower class still waiting for representation by either presidential candidate	nation's lower class still waiting for representation by either presidential candidate
4876	fallout shelter been found in a man's backyard	backyard time capsule reveals man's secret fallout shelter hobby
3481	engagement photographer really pushing 'vintage'	engagement photographer insists on 'vintage' sepia filter for everything
24183	hotel's tv channels memorized by frequent fliers	hotel's tv channels memorized by guests too lazy to change channel
20356	obama narrowly misses performance bonus this quarter	obama narrowly misses bingo win this quarter
20707	mariners improve to eight games over 500	mariners improve to eight games over monopoly
8078	wheelchair-bound student would have preferred to drive a rally car	wheelchair-bound student says, "screw it, i would have preferred to drive a monster truck"
19979	intern sent to testify before congress	intern sent to testify before congress on missing stapler
