1597	strange new bioculture forming on other end of office	strange new bioculture forming on other end of office
25699	'change!' insane man in windowless apartment announces to cockatoo	'change!' insane man in windowless apartment announces to robin williams
11246	oxford english dictionary to add 'skype' and 'tweet' to latest edition	oxford english dictionary to add 'skype' and 'tweet' to latest edition -> oxford english dictionary to add 'skype' and 'tweet' to latest edition
20364	hbo announces 'game of thrones' not coming back 	hbo announces 'game of thrones' coming back
18741	"trump refuses to read headline beyond words ""4-year-old collusion investigation forced to"""	"trump refuses to read headline beyond words ""4-year-old""
2541	technical, barely staffed preschool teaches welding to kids	technical, barely staffed kindergarten teaches kids welding
16770	'it's like biggie and tupac all over again,' says obama of korean conflict	'it's like korean conflict and korean conflict all over again,' says obama of korean conflict
16625	narcissist fails to find symptoms in diagnosis	narcissist fails to find symptoms in narcissistic personality disorder diagnosis
26271	buccaneers inform jeff garcia that the team no longer wanted him	buccaneers inform jeff garcia that the team no longer wanted him
23061	cartier to give cologne another shot	cartier to give cologne another shot
3727	elite congressman caught giving oral sex to a spalding basktball	elite congressman caught giving oral sex to a spalding ball
2172	underground railroad carried slaves from mississippi to manhattan	underground railroad carried slaves from mississippi to missouri
12926	google launches 'the goggles' for older adults	google launches 'the goggles' for older adults
14767	highschool teacher constantly abused vulnerable students	highschool teacher constantly abused vulnerable students' parents
15139	congress approves $500 billion for monument to human trafficking victims	congress approves $500 million for monument to human trafficking victims</s>
9567	american citizens split on doj memo authorizing government to kill 	american citizens split on doj memo authorizing government to kill 57
18258	nation's lower class still waiting for representation by either presidential candidate	nation's lower class still waiting for representation by either presidential candidate
4876	fallout shelter been found in a man's backyard	fallout shelter been found in a man's back pocket
3481	engagement photographer really pushing 'vintage'	engagement photographer really pushing 'cringe'
24183	hotel's tv channels memorized by frequent fliers	hotel's tv channels memorized by local homeless
20356	obama narrowly misses performance bonus this quarter	obama narrowly misses performance bonus this year
20707	mariners improve to eight games over 500	mariners improve to eight games over .500
8078	wheelchair-bound student would have preferred to drive a rally car	wheelchair-bound student would have preferred to drive a rally car through a field of land mines
19979	intern sent to testify before congress	interns sent to clean up bathroom at capitol
3560	"kick off your summer right with a chesapeake bay krill bake	"kick off your summer right with a chesapeake bay krill bake"
3977	charlotte bobcats seeded 7th in tournament	charlotte bobcats seeded as first round draft pick by disgruntled NBA owner
3779	new high school alumni make successful use of graduation advice	new high school alumni fail to make successful use of graduation advice
4242	study: 80% of waking hours spent without memory	study: 80% of waking hours spent without memory, 20% spent without memory
12886	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar
25847	"taylor swift says she's ""getting into photography"" "	"taylor swift says she's ""getting into photoshopping"" "
16540	world cup crowd blends 75,000 voices into one beautiful roar	world cup crowd blends 75,000 voices into one, uh, i'll get back to you on that one
652	chik-fil-a wants consumers to know it's fine with gays, disapproves of gay marriage	chik-fil-a wants consumers to know it's fine with gay people as long as they're willing to do their job of eating their chicken
20196	new credit card urges buyers to go for it	new credit card urges buyers to go for it until they hit their limits
16054	report: oprah's got her thing tonight	report: oprah's got her thing tonight
25980	videotaped catering car for wedding posterity	videotaped catering car for wedding posterity
11137	bears offensive line coach mike tice fairly close to teaching difference between tackle and guard	bears offensive line coach mike tice fairly close to teaching the difference between tackle and tackle
1762	man claims flatbread is pizza.  but is he right?	man claims flatbread is pizza.  no he is not
20419	bush to troops: 'bring back peace to the region'	bush to troops: 'bring back peace to the planet'
5624	south africa realizes all its researchers were stolen during world war	south africa realizes all its researchers were stolen during world war ii
8258	who asks bob melvin if a's are poor?	who asks bob melvin if a's are poor or just cheap?
16441	alzheimer's disease causing elderly to misremember youth	alzheimer's disease causing elderly to misremember their youth
23451	mcdonald's to post warning labels on fries	mcdonald's to post warning labels on happy meals
21710	russel athletic introduces new product	russel athletic introduces new product
21266	kurrencykook.com gives mixed review	kurrencykook.com gives kook review
9289	derek jeter walked twice in all-star game	derek jeter walked twice in all-star game, which is pretty great
9079	ea ceo resigns after stock price plunges	ea ceo resigns after stock price plunges to ground
16058	opening staff rails against incompetence of boss	opening staff rails against incompetence of boss
2070	witness punches out prosecutor	witness punches out his own defense lawyer
8821	alumni furious over high school's constantdemands	alumni furious over high school's constantdemands
22213	elderly man skipping work uses 'dead grandson' excuse again has been fired from job	elderly man skipping work uses 'dead cat' excuse again has been fired from job
4688	defective culinary board reviews local thai restaurants	culinary board defects in local thai restaurants
6914	government admits to hiding embarrassingly 1973 alien encounter	government admits to hiding embarrassingly 1980 alien encounter
21715	biden sit in at cabinet meeting	bush and cheney sit in at biden's meeting
24324	physicists succesfully split the caltech bill	physicists fail to split the caltech bill</s>
26229	britney spears' fragrance has new ambassador	britney spears' fragrance has new bottle
12657	area man dies in commute	area man dies in traffic accident
17031	john boehner's wife calls for her shutdown king to come back to the office	john boehner's wife calls for her shutdown king to come back to the office
10617	village in nepal constructed entirely of mountain climbers	village in nepal constructed entirely of mountaineers
17990	bernie sanders takes off owing roommates 1,300 bucks	sanders takes off to protest the bernie sanders
22493	lip-reading service mocks officials who want to shut it down	lip-reading service mocks officials who can’t afford it
24016	richard branson's global-warming donation generously as much as scientific study	richard branson's global-warming donation generously as much as scientific study
8275	scientist refers to sleep as 'passing out'	scientist refers to sleep as passing-out-out
4570	pedophile teachers nervous for last day of school	pedophile teachers nervous for last day of school
3721	little league world series to begin testing players for steroids	little league world series to begin testing players for steroids
9148	nypd offering no-questions-asked hash drop-off	dpd offering no-questions-asked hash drop-off
19374	honest man angry he's not judged by that time he was injured	honest man angry he's not judged by that time he was injured and the time he was injured and the time he was injured and the time he was injured and the time he was injured and the time he was injured and the time he was injured and the time he was injured and the time he was injured and
19068	fifth-grade boys discover group of naked ladies tied up in woods	fifth-grade boys discover a group of naked ladies tied up in the woods
10028	taylor swift enters relationship with body-building carlos harrison	taylor swift enters relationship with carlos santana
1025	area man unaffected by stock market whims	area man unaffected by stock market whims
1264	delta plane explodes over atlantic	delta plane explodes over atlantic ocean
7520	joint chiefs chairman : i could pull off junta if i really wanted to	joint chiefs chairman: i could pull off junta if i really wanted to
23853	brandon weeden misses browns practice to attend wedding	brandon weeden misses browns practice to attend wedding and make an honest woman out of him
8766	lasik surgery allows baron to see without glasses	lasik surgery allows baron to see without glasses
2313	san diego zoo displays first rhino born in captivity	san diego zoo's zoo rhino born in captivity
13866	nfl to fine players for getting arrested	nfl to fine players for getting married
19176	fbi announces witness-protection parade	fbi announces witness-protection program
1642	come prepared	come prepared to be bored to tears
13383	panicked agriculture secretary forgets who he serves	panicked agriculture secretary forgets who he serves and forgets to give back his bonus and give his money to the government
20801	nation demands brexit instructions	nation demands brexit instructions
25766	man disturbed just by constant thought of 2 guys kissing	man disturbed just by constant thought of 2 guys kissing, but he's not gay
7120	green bay police driver has seen 'whole heck of a lot'	green bay police driver has seen a whole heck of a lot of shit
5417	crowd acclaims 93-year-old finally graduates from college	crowd acclaims 93-year-old finally gets out of college
20403	supreme court bans corporations from running for political office	supreme court bans corporations from running for political office without giving them millions of dollars
11453	deadly new virus found to be real-time	deadly new virus found to be not so deadly
24346	brian urlacher retires with plenty of injuries left 	chicago bulls retire michael jordan with plenty of injuries left
10371	lifetime of sleeping, eating, breathing finally catches up to 1990	lifetime of sleeping, eating, breathing finally catches up to 1990
8495	everything you've ever wanted has been right in front of you all along	everything you've ever wanted has been right in front of you all along
16400	last male heir to bloodline watches movie with granddaughter on laptop	last heir to bloodline watches movie with granddaughter on laptop, while on laptop
12332	baseball fans excited for all-star matchup between non-injured players.	baseball fans excited for all-star matchup between non-injured baseball players
9976	muppeteer's right hand in critical condition following big bird assassination attempt	muppeteer's left hand critical condition following big bird assassination attempt
14955	flamboyant nation demands supreme court just get to the gay stuff	nation flamboyantly demands supreme court just get to the gay stuff
19884	convicted freed by presidential pardon	convicted freed by presidential pardon
4844	owning a boat is now worth it	owning a boat is now worth it
24393	illinois does 10 adult films this year to make ends meet	illinois does 10 blowjobs this year to make ends meet
17182	political rally interrupted by nashville predators game 	political rally interrupted by nashville predators hockey game
23869	ron paul supporter likes the way how paul tells things	ron paul supporter likes the way how paul tells lies
2109	radio dj invites whole town to night event	whole town invites radio dj
11155	joe dumars resigns to spend more time with family	joe dumars resigns because it is the job he has held for the past twelve years
17689	charisma gene isolated	charisma gene found to be located on dvd of movie "wag the dog"
26169	muslims discovered america	muslims discovered europe
13584	area man guesses he doesn't need wikipedia page open anymore	area man guesses he doesn't need wikipedia page open anymore
13276	mother of slaying victim glad it was the police who knocked on her door half an hour after funeral	mother of slaying victim glad it was the funeral director who knocked on her door half an hour after funeral
26088	average time spent being happy correlates to work hours per day	average time spent being happy correlates to hours spent at home playing video games
15728	veteran stormed beach at normandy who's still getting laid because of it 	veteran stormed beach at normandy who's still getting laid because of it</s>
10266	man just having sick of those decades where he doesn't feel like doing anything	man just having sick of decades where he doesn't feel like doing anything
988	family concerned after new tv show has another terrible episode	family concerned that new tv show has any episodes
22633	russia acquired amway distributorship	russia acquired amway distributorship
3109	fed chief makes diplomatic visit to queen	fed chief makes diplomatic visit to toilet
22781	goldman sachs announces they're founding up a nursing home and there's lots anyone can do to help	goldman sachs announces they're founding up a nursing home and you can help them to get more rich and powerful by doing a ton of work for no pay
22339	parents told kids that they met using tinder algorithm	parents told kids that they met using tinder algorithm</s>
2131	quaker scientists formulate new old-fashioned oatmeal	quaker scientists formulate new old-fashioned old-fashioned oatmeal
18555	blind south korean archer sets new world record before accidentally shooting foot	blind south korean archer sets new world record before accidentally shooting foot
7533	papa john's now offering home delivery	papa john's now offering home delivery
16403	while cheering on brother, eli manning struggles with back injury	manning family decides to cheer on brother while eli struggles with back injury
17674	new study finds women should be making 20 cents more on dollar than men	new study finds women should be making 12 cents more on dollar than men
6777	rapidly swelling may contain traces of peanuts	rapidly swelling may contain traces of peanuts
17687	'my sharona' playing in supermarket as parent soothes crying child	'my sharona' playing in supermarket as parent soothes crying child
3361	president bush designates 1 million acres for federally protected parks	president bush designates 1 million acres for federally protected party parks
16026	sotomayor to add litigation expertise to already deadly supreme court	sotomayor to add litigation expertise to already dead supreme court
1465	family relieved to hear dog didn't die	family relieved to hear dog didn't
3605	family bravely defends squeak from terrier	family bravely defends squeak from terrier attacker
16604	nba ref disgusted after finding shot clock that expired seconds ago	nba ref disgusted after finding shot clock that expired two hours ago
4751	john madden agrees to work as consultant for raiders	john madden agrees to work as consultant for raiders
7907	edward snowden's life claimed to be fun and exciting	edward snowden's life is about to get a lot less fun and exciting
1776	hollywood diet recipes have fallen into non-celebrity hands	celebrity diet recipes have fallen into non-celebrity hands
23329	medical industry falls behind quick-lube shop in electronic record keeping	medical industry falls behind oil-change shop in electronic record keeping
12492	obama calls on nation to put in one solid day of government work	obama calls on nation to put in one solid day of government work
8197	local mayor to post comment on twitter	local mayor to post comment on foursquare
8073	puma commercial has usain bolt running	puma commercial has usain bolt not walking
2121	nation tunes in to see which team more successful this time	nation tunes in to see which team more successful this time
10411	bush to meet with agriculture secretary in the whitehouse	bush to meet with ag secretary in the whitehouse
19166	reality show suddenly turns to subject of divorce	reality show suddenly turns to subject of marriage
14936	poll: 1 in 5 americans believe obama is a muslim	poll: 1 in 5 americans believe obama is a muslim
1239	several nfl teams express interest in andrew luck	several teams express interest in andrew luck
18544	kobe bryant triumphantly returns to mentor new lakers	kobe bryant triumphantly returns to mentor new orleans lakers
11811	mexico announces plans to harvest over 700 million tons of beans	mexico announces plans to harvest over 700 million tons of beans for war
10412	andrew bynum admits pain in knees small price to pay for philadelphia fans' support	andrew bynum admits pain in knees small price to pay for philladelphia fans to be able to stop making dick jokes about him
21609	key races: the house price	area man's house price
10011	tropical storm brings deadly cloud up east coast	cloud not as deadly as expected, but still kills thousands
22796	new debate rules allow for one 15-second reply	new debate rules allow for one 30-second reply
8439	national park council: many americans suffer from sun deficiency	national park council: we have a lot of money
20249	holy shnike, 'tommy boy' replaces 'casper' as top movie	holy shnike, 'tommy boy' replaces 'casper' as top movie for my dad
3821	martin freeman scores  free hobbit  imovie  at apple store	martin freeman scores free movie tickets to apple store
18611	 family that prays together gets through long marriage together	family that prays together gets through long marriage together
16499	old people most concerned about who is going to have to deal with all the nursung home stuff	old people most concerned about who will have to pay for all the nursing home stuff
17531	witness in whitey bulger trial found dead in woods outside dorchester	witness in whitey bulger trial found in woods outside dorchester
21533	recreational eater turns professional	recreational eater turns professional eater
9192	birthers demand to see trump's unabridged birth certificate	birthers demand to see trump's unabridged birth certificate or his mother's death certificate
724	ryan mathews targets season opener against raiders as date to prove unimpaired by injury	ryan mathews targets season opener against raiders as date to go back to blowing dudes
9201	sweden space station crew members deny throwing things 	sweden space station crew members deny throwing things, and are moreover being denied access to things that will help them to survive in space
9108	apple user upset his laptop just died	apple user upset his iPod just died
18751	lance armstrong: i never failed one of those doping tests	lance armstrong: i never failed one of those tests because i am fucking lance armstrong
596	study: every 10 days a skyscraper window washer falls to his death	study: every 10 days a skyscraper window washer falls to his death in order to win a game of hot potato
10321	new hulk hogan autobiography 300 unmoving pages	new hulk hogan autobiography a couple of thousand unmoving pages
17617	study: how to effectively calm down someone	study: how to effectively calm down somebody
13675	nike signs big brown to $90 million contract	nike signs big brown to $90 million contract</s>
22341	buddhist terrorist promise to attack west with tranquillity	bostonians are ready to be attacked by a tranquil terror
20092	media watchdog spokesman sought forgiveness on embezzlement charges	media watchdog spokesman sought forgiveness for embezzlement of embezzlement
13813	romney foreign policy debate prep in crisis mode after discovering existence of iraqi wmds	romney foreign policy debate prep in crisis mode after discovering existence of iraqi womens mideast destiny
8331	bush asks advice for this friend of his	bush asks advice from this friend of his
19567	suicide hotline operator talking to president again	suicide hotline operator talking to president obama again
19783	tour de france cyclists make it past dreaded mountain stage	cyclists make it past mountain stage, which they dreaded
12635	area woman already regretting christmas tattoo	area woman already regretting christmas tattoos
10975	every u.s. military leader is worthy to be namesake of breaded chicken dish	every u.s. military leader is a breaded chicken dish
