1597	strange new bioculture forming on other end of office	strange new bio-culture forming on other end of cubicle
25699	'change!' insane man in windowless apartment announces to cockatoo	'change!' insane man in windowless apartment announces to imaginary cockatoo
11246	oxford english dictionary to add 'skype' and 'tweet' to latest edition	oxford english dictionary to add 'skype' and 'tweet' to latest edition: words that mean 'to do something while pretending to not be doing something else'
20364	hbo announces 'game of thrones' not coming back 	hbo announces 'game of thrones' coming back
18741	"trump refuses to read headline beyond words ""4-year-old collusion investigation forced to"""	trump refuses to read headline beyond words "4-year-old collusion investigation forced to fold"
2541	technical, barely staffed preschool teaches welding to kids	tech, barely staffed preschool teaches welding to kids
16770	'it's like biggie and tupac all over again,' says obama of korean conflict	obama says "it's like biggie and tupac all over again" in reference to north and south korea conflict
16625	narcissist fails to find symptoms in diagnosis	megalomaniac fails to identify symptoms in medical assessment
26271	buccaneers inform jeff garcia that the team no longer wanted him	pirates inform jef garcia that the team no longer wanted him
23061	cartier to give cologne another shot	cartier to give cologne another shot at failing to sell
3727	elite congressman caught giving oral sex to a spalding basktball	elite congressman caught giving oral sex to a basketball with no pants
2172	underground railroad carried slaves from mississippi to manhattan	underground railroad carried slaves from mississippi to manhattan, but not without occasional detour to cheesecake factory
12926	google launches 'the goggles' for older adults	google launches 'the goggles' for older adults - because grandparents should always be able to see their grandchildren's latest antics on Instagram
14767	highschool teacher constantly abused vulnerable students	highschool teacher constantly abused vulnerable animals
15139	congress approves $500 billion for monument to human trafficking victims	congress approves $500 billion for monument to human trafficking victims and more money to buy fancy cars for congressmen
9567	american citizens split on doj memo authorizing government to kill 	american citizens split on doj memo authorizing government to kidnap
18258	nation's lower class still waiting for representation by either presidential candidate	nation's lower class still waiting for representation by either presidential candidate or a group of raccoons
4876	fallout shelter been found in a man's backyard	fallout shelter been found in a man's backyard, just like his personality
3481	engagement photographer really pushing 'vintage'	engagement photographer really pushing the 'vintagery' is all
24183	hotel's tv channels memorized by frequent fliers	hotel's tv channels memorized by frequent fliers
20356	obama narrowly misses performance bonus this quarter	obama narrowly misses performance bonus this quarter
20707	mariners improve to eight games over 500	mariners improve to eight games over 500, finally breaking the .500 barrier
8078	wheelchair-bound student would have preferred to drive a rally car	wheelchair-bound student would have preferred to drive a race car
19979	intern sent to testify before congress	intern sent to testify before congress for what it did wrong
3560	"kick off your summer right with a chesapeake bay krill bake	kick off your summer right with a chesapeake bay krill barbecue
3977	charlotte bobcats seeded 7th in tournament	charlotte bobcats seeded 7th in tournament of irrelevant sport
3779	new high school alumni make successful use of graduation advice	new high school graduates to make use of graduation advice to finally figure out what they want to be when they grow up
4242	study: 80% of waking hours spent without memory	study: 80% of waking hours spent in a black hole
12886	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar and banging on his clubs while swearing at his caddy.
25847	"taylor swift says she's ""getting into photography"" "	"taylor swift says she's "getting into photogenic""
16540	world cup crowd blends 75,000 voices into one beautiful roar	world cup crowd blends 75,000 voices into one beautiful moo
652	chik-fil-a wants consumers to know it's fine with gays, disapproves of gay marriage	chik-fil-a announces it's fine with gays, disapproves of gay unions
20196	new credit card urges buyers to go for it	new credit card urges buyers to go ahead and steal it
16054	report: oprah's got her thing tonight	report: oprah's got her thing tonight - her hair is on point
25980	videotaped catering car for wedding posterity	videotaped catering car for wedding posterity
11137	bears offensive line coach mike tice fairly close to teaching difference between tackle and guard	bears offensive line coach mike tice fairly close to teaching difference between tackle and guard with some creative language
1762	man claims flatbread is pizza.  but is he right?	man claims flatbread is pizza.  but is he fucking insane?
20419	bush to troops: 'bring back peace to the region'	bush to troops: 'bring back chaos to the region'
5624	south africa realizes all its researchers were stolen during world war	south africa realizes all its researchers were stolen during world war
8258	who asks bob melvin if a's are poor?	who is dumb enough to ask bob melvin if a's are poor?
16441	alzheimer's disease causing elderly to misremember youth	alzheimer's disease causing elderly to misremember old age
23451	mcdonald's to post warning labels on fries	mcdonald's to post warning labels on fries: "may contain traces of joy and happiness"
21710	russel athletic introduces new product	russel athletic introduces new product that does nothing
21266	kurrencykook.com gives mixed review	kurrencykook.com gives mixed review of mixed reviews of mixed review
9289	derek jeter walked twice in all-star game	derek jeter walked twice in all-star game and also drank a lot of beers
9079	ea ceo resigns after stock price plunges	ea ceo resigns after stock price takes a plunge down the toilet
16058	opening staff rails against incompetence of boss	opening staff rails against incompetence of boss's boss's boss's boss's boss
2070	witness punches out prosecutor	witness punches out prosecutor's hairless scalp
8821	alumni furious over high school's constantdemands	alumni furious over high school's constant demands for money
22213	elderly man skipping work uses 'dead grandson' excuse again has been fired from job	elderly man skipping work uses 'dead grandson' excuse again has been fired from job, it's a recurring problem
4688	defective culinary board reviews local thai restaurants	defective culinary board gives negative reviews of local thai restaurants
6914	government admits to hiding embarrassingly 1973 alien encounter	government admits to hiding embarrassingly 1973 alien encounter, but claims no connection to current immigration crisis
21715	biden sit in at cabinet meeting	biden sit in at cabbage meeting
24324	physicists succesfully split the caltech bill	physicists successfully split the bill for beer
26229	britney spears' fragrance has new ambassador	britney spears' fragrance has new ambassador: a drunk guy who has no idea what the fuck he's doing
12657	area man dies in commute	area man dies in commute to his job as a car
17031	john boehner's wife calls for her shutdown king to come back to the office	john boehner's wife calls for her king to come back to the office and do his job
10617	village in nepal constructed entirely of mountain climbers	village in nepal constructed entirely of mountaineers
17990	bernie sanders takes off owing roommates 1,300 bucks	bernie sanders takes off owing roommates 1,300 bucks and starts new life of squatting
22493	lip-reading service mocks officials who want to shut it down	lip-reading service mocks officials who want to shut it down and read their deepest secrets
24016	richard branson's global-warming donation generously as much as scientific study	richard branson's global-warming donation as much as scientific study of what it takes to build a giant space penis
8275	scientist refers to sleep as 'passing out'	scientist refers to sleep as 'nodding off'
4570	pedophile teachers nervous for last day of school	pedophile teachers nervous for last day of summer
3721	little league world series to begin testing players for steroids	little league world series to begin testing players for steroids, which is great because we want little kids to grow up strong and muscular
9148	nypd offering no-questions-asked hash drop-off	nypd offering no-questions-asked penguin drop-off
19374	honest man angry he's not judged by that time he was injured	honest man angry he's not judged by the time he was severely injured by being shot in the foot
19068	fifth-grade boys discover group of naked ladies tied up in woods	fifth-grade boys stumble upon group of naked ladies bound in woods
10028	taylor swift enters relationship with body-building carlos harrison	taylor swift enters relationship with carl-harrison who has bigger muscles
1025	area man unaffected by stock market whims	area man unaffected by stock market whims because he's a billionaire
1264	delta plane explodes over atlantic	delta plane explodes over atlantic, leaving nothing but a delta of destruction in its wake
7520	joint chiefs chairman : i could pull off junta if i really wanted to	joint chiefs chairman: i could pull off dictatorship if i really wanted to
23853	brandon weeden misses browns practice to attend wedding	brandon weeden misses browns practice to attend wedding to wedding crasher
8766	lasik surgery allows baron to see without glasses	lasik surgery allows baron to see without beer
2313	san diego zoo displays first rhino born in captivity	san diego zoo displays first rhino born in captivity, it's a fucking success
13866	nfl to fine players for getting arrested	nfl to fine players for being arrested
19176	fbi announces witness-protection parade	fbi announces parade to protect witnesses from witnessing anything
1642	come prepared	come with a plan and a few extra snacks.
13383	panicked agriculture secretary forgets who he serves	panicked agriculture secretary forgets who he's paid by
20801	nation demands brexit instructions	nation demands instructions on how to leave the eu
25766	man disturbed just by constant thought of 2 guys kissing	man disturbed just by constant thought of 2 guys playing chess
7120	green bay police driver has seen 'whole heck of a lot'	green bay police driver has seen 'whole heck of a lot' and now is just a fuckhead
5417	crowd acclaims 93-year-old finally graduates from college	crowd acclaims 93-year-old finally graduates from school of geriatrics
20403	supreme court bans corporations from running for political office	supreme court bans corporations from running for office, but allows them to donate unlimited money to candidates
11453	deadly new virus found to be real-time	deadly new virus found to be not-real-time
24346	brian urlacher retires with plenty of injuries left 	brian urlacher retires with plenty of injuries left on his car
10371	lifetime of sleeping, eating, breathing finally catches up to 1990	1990 finally catches up to lifetime of sleeping, eating, and breathing
8495	everything you've ever wanted has been right in front of you all along	oh my god, everything I've ever wanted has been right in front of me all along, except for that time I got hit by a car.
16400	last male heir to bloodline watches movie with granddaughter on laptop	last male heir to bloodline watches movie with granddaughter on laptop, while wearing a blindfold
