25809	strange new culture forming on other end of office	unique office culture forming on other end
21747	'wig change!' insane man in windowless apartment announces to cockatoo	'wig change!' eccentric man in apartment announces to pet cockatoo
20797	oxford english dictionary to add 'skype' and 'coat' to latest edition	oxford english dictionary to add 'emoji' and 'selfie' to latest edition
26506	hbo announces 'game of thrones' not coming back this weekend	hbo announces 'game of thrones' delayed until next weekend
18959	nation refuses to read headline beyond words '4-year-old girl forced to'	nation captivated by heartwarming story of 4-year-old girl overcoming challenges
25272	technical preschool teaches welding to kids	technical preschool teaches kids essential skills like welding
18727	'it's like biggie and tupac all over again,' says dumbass of korean conflict	"it's like biggie and tupac all over again," says ignorant person on korean conflict
18950	narcissist thrilled to find symptoms in dsm-iv	individual excited to find self-reflective qualities in DSM-IV
23234	buccaneers inform jeff garcia that no team ever wanted him	buccaneers inform jeff garcia that they have decided to move on
19346	man to give cologne another shot	man to try cologne again
27140	elite congressman trained to kill legislation in 24 different ways	elite congressman trained to navigate legislation in 24 different ways
19295	'underground railroad' carries slaves from brooklyn to manhattan	'underground railroad' carries escaped individuals from Brooklyn to Manhattan
23027	google launches 'the google' for older adults	google launches new features for older adults
21706	highschool teacher constantly uses janitor as example	high school teacher constantly uses real-life examples
24031	congress approves $500 billion for monument to human folly	congress approves $500 billion for infrastructure improvement project
18523	american citizens split on doj memo authorizing government to kill them	american citizens concerned over doj memo authorizing government actions
20297	nation's lower class still waiting for first mention by either presidential candidate	nation's lower class eagerly awaits acknowledgment from presidential candidates
25195	dead whale buried in aquarium's backyard	aquarium respectfully buries deceased whale
26869	engagement photographer really pushing 'vintage couch in a field'	engagement photographer encourages unique settings for photos
19743	hotel's tv channels memorized by second day of vacation	hotel's TV channels remained unexplored throughout vacation
27439	obama narrowly misses quarterly performance bonus	obama declines quarterly performance bonus
24799	mariners improve to eight games over .300	mariners improve to eight games over .500
21564	wheelchair-bound student would have preferred to sit out pep rally	wheelchair-bound student chooses to observe pep rally from a seated position
25220	intern sent to testify before congress for the experience	intern sent to testify before congress for the "experience"
27440	red lobster celebrates return of annual all-you-can-eat krill fest	red lobster celebrates return of annual all-you-can-eat seafood fest
23331	charlotte bobcats seeded 7th in nit	charlotte bobcats seeded 7th in NBA playoffs
23957	new high school alumni make successful use of vague graduation advice	new high school alumni successfully navigate life after receiving vague graduation advice
25871	study: 80% of waking hours spent plotting revenge	study: 80% of waking hours spent on productive activities
19489	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar all at once	hoping to break slump, rickie weeks experiments with different strategies to improve performance
23592	17-year-old thinks she's getting into photography	17-year-old begins exploring photography as a hobby
27414	world cup crowd blends 75,000 racist slurs into one beautiful roar	world cup crowd unites in a passionate roar
19756	wendy's wants consumers to know it's fine with gays, disapproves of interracial marriage	wendy's reaffirms support for equality and inclusivity
19328	new visa talking credit card urges buyers to go for it	new credit card encourages buyers to seize opportunities
26997	report: mom's got her thing tonight	report: mom's got plans tonight
22394	wedding catering cart videotaped for posterity	wedding catering cart captured on video for memories
21265	bears offensive line coach mike tice fairly close to learning difference between tackle and guard	bears offensive line coach mike tice demonstrates expertise in distinguishing between tackle and guard positions
26194	'flatbread means pizza,' man finds self curtly saying to visiting father	'man finds himself explaining the difference between flatbread and pizza to visiting father'
24820	bush to olympians: 'bring back lots of valuable gold'	bush encourages olympians to strive for gold
22468	south africa realizes all its things were stolen during world cup	south africa discovers missing items after world cup
27125	coco crisp shyly asks bob melvin if a's are poor	Coco Crisp playfully asks Bob Melvin if A's are financially challenged
22001	alzheimer's disease causing baby boomers to misremember 1960s even more	baby boomers misremembering 1960s due to nostalgia
24900	mcdonald's to post warning labels on individual fries	mcdonald's considers healthier options for menu items
22912	russell athletic sheepishly introduces new cup	russell athletic introduces new sports cup
25603	kurrencykook.com gives new $100 bill mixed review	kurrencykook.com gives new $100 bill positive review
27490	derek jeter beaned twice in all-star game	Derek Jeter narrowly avoids beaning in all-star game
25973	jay-z ceo resigns after stock price plunges	jay-z ceo resigns after stock price decline
22161	opening staff rails against incompetence of closing staff	opening staff highlights achievements of closing staff
23917	surprise witness punches out prosecutor	surprise witness confronts prosecutor in courtroom
