25809	strange new culture forming on other end of office	new work culture forming on other end of office
21747	'wig change!' insane man in windowless apartment announces to cockatoo	man in apartment announces new routine to pet cockatoo
20797	oxford english dictionary to add 'skype' and 'coat' to latest edition	oxford english dictionary to add 'skype' and 'tweet' to latest edition
26506	hbo announces 'game of thrones' not coming back this weekend	hbo announces 'game of thrones' release date postponed
18959	nation refuses to read headline beyond words '4-year-old girl forced to'	nation refuses to read disturbing headline about '4-year-old girl'
25272	technical preschool teaches welding to kids	technical preschool introduces basic engineering concepts to kids
18727	'it's like biggie and tupac all over again,' says dumbass of korean conflict	'it's like history repeating itself,' says expert of Korean conflict
18950	narcissist thrilled to find symptoms in dsm-iv	individual pleased to find their symptoms listed in DSM-IV
23234	buccaneers inform jeff garcia that no team ever wanted him	buccaneers inform jeff garcia that team no longer requires his services
19346	man to give cologne another shot	man decides to try cologne again
27140	elite congressman trained to kill legislation in 24 different ways	elite congressman trained to tackle legislation in 24 different ways
19295	'underground railroad' carries slaves from brooklyn to manhattan	'underground railroad' historical tour in Brooklyn and Manhattan
23027	google launches 'the google' for older adults	google launches new interface for older adults
21706	highschool teacher constantly uses janitor as example	high school teacher constantly uses janitor as a role model
24031	congress approves $500 billion for monument to human folly	congress approves $500 billion for infrastructure improvements
18523	american citizens split on doj memo authorizing government to kill them	american citizens split on doj memo authorizing government's increased surveillance powers
20297	nation's lower class still waiting for first mention by either presidential candidate	nation's lower class still waiting for direct policies by either presidential candidate
25195	dead whale buried in aquarium's backyard	dead whale buried in aquarium's designated area
26869	engagement photographer really pushing 'vintage couch in a field'	engagement photographer really pushing 'vintage theme'
19743	hotel's tv channels memorized by second day of vacation	hotel's tv channels frequently used by second day of vacation
27439	obama narrowly misses quarterly performance bonus	obama narrowly misses quarterly approval rating target
24799	mariners improve to eight games over .300	mariners improve to eight games over .500
21564	wheelchair-bound student would have preferred to sit out pep rally	wheelchair-bound student prefers to sit out of pep rally
25220	intern sent to testify before congress for the experience	intern sent to observe congress for the experience
27440	red lobster celebrates return of annual all-you-can-eat krill fest	red lobster celebrates return of annual all-you-can-eat shrimp fest
23331	charlotte bobcats seeded 7th in nit	charlotte bobcats seeded 7th in tournament
23957	new high school alumni make successful use of vague graduation advice	new high school alumni implement general graduation advice successfully
25871	study: 80% of waking hours spent plotting revenge	study: considerable time spent on thoughts of revenge
19489	hoping to break slump, rickie weeks chewing increasing amounts of tobacco, bubble gum, sunflower seeds, pine tar all at once	hoping to break slump, rickie weeks incorporates new methods into his routine
23592	17-year-old thinks she's getting into photography	17-year-old thinks she's getting into photography
27414	world cup crowd blends 75,000 racist slurs into one beautiful roar	world cup crowd of 75,000 erupts into a roar of excitement
19756	wendy's wants consumers to know it's fine with gays, disapproves of interracial marriage	Wendy's supports both LGBTQ+ rights and interracial marriage.
19328	new visa talking credit card urges buyers to go for it	new visa credit card feature urges buyers to make wise purchases
26997	report: mom's got her thing tonight	report: mom has an event tonight
22394	wedding catering cart videotaped for posterity	wedding ceremony videotaped for posterity
21265	bears offensive line coach mike tice fairly close to learning difference between tackle and guard	bears offensive line coach mike tice implements new strategies for tackle and guard positions
26194	'flatbread means pizza,' man finds self curtly saying to visiting father	'flatbread is similar to pizza,' man explains to visiting father
24820	bush to olympians: 'bring back lots of valuable gold'	bush to olympians: 'aim to win lots of gold'
22468	south africa realizes all its things were stolen during world cup	south africa reports increase in thefts during world cup
27125	coco crisp shyly asks bob melvin if a's are poor	coco crisp asks bob melvin about a's financial situation
22001	alzheimer's disease causing baby boomers to misremember 1960s even more	alzheimer's disease causing baby boomers to struggle with memories of 1960s
24900	mcdonald's to post warning labels on individual fries	mcdonald's to post nutritional information on individual menu items
22912	russell athletic sheepishly introduces new cup	russell athletic introduces new athletic cup
25603	kurrencykook.com gives new $100 bill mixed review	kurrencykook.com gives new $100 bill a mixed review
27490	derek jeter beaned twice in all-star game	derek jeter hit twice in all-star game
25973	jay-z ceo resigns after stock price plunges	jay-z's company CEO resigns after stock price plunges
22161	opening staff rails against incompetence of closing staff	opening staff express concern over inefficiency of closing staff
23917	surprise witness punches out prosecutor	surprise witness challenges prosecutor
24850	alumni furious over high school's constant improvements	alumni worried over high school's constant renovations
