Model	Training Data	F1	Accuracy	F1 mean	Accuracy mean	F1 std	Accuracy std	F1 std err	Accuracy std err
mistralaiMistral-7B-v0.1	satire/ChatGPT-3.5	0.6301824212271974	0.6986666666666667	0.6396223283601502	0.6994666666666666	0.025657841576630196	0.01226666666666666	0.011474535584253098	0.0054858201047994805
mistralaiMistral-7B-v0.1	satire/GPT-4	0.6287519747235387	0.6946666666666667	0.6407059669508846	0.692	0.0335963104719049	0.015434449203720306	0.015024726801673478	0.006902495522957221
mistralaiMistral-7B-v0.1	satire/Mistral	0.6576454668470906	0.6626666666666666	0.6617173918163554	0.6677333333333333	0.025448862209083576	0.01642545450073011	0.011381077169907269	0.007345686564992478
mistralaiMistral-7B-v0.1	satire/Mistral Instruct	0.6675159235668789	0.652	0.6608978508836525	0.6608	0.017924230774646405	0.018273964478945914	0.008015959691300615	0.008172365358667917
mistralaiMistral-7B-v0.1	unfun/ChatGPT-3.5	0.767962308598351	0.7293333333333333	0.7669027741416148	0.7306666666666667	0.00365849456952504	0.0051982903172314385	0.001636128510554364	0.0023247461032216885
mistralaiMistral-7B-v0.1	unfun/GPT-4	0.7916666666666667	0.7653333333333333	0.7889354682954581	0.7666666666666668	0.004601551377146977	0.004299870799092575	0.0020578763362516825	0.0019229606802474678
mistralaiMistral-7B-v0.1	unfun/Mistral	0.7201017811704835	0.7066666666666667	0.7149856022720625	0.7037333333333333	0.020586905982063662	0.016097480824305684	0.009206744244458283	0.007199012277929371
mistralaiMistral-7B-v0.1	unfun/Mistral Instruct	0.718346253229974	0.7093333333333334	0.719608851422616	0.7144	0.021555703415499554	0.015188299590291355	0.009640003627976278	0.006792414069304735
mistralaiMistral-7B-v0.1	unfun/News Headlines	0.7232142857142857	0.6626666666666666	0.7252388064718202	0.6626666666666666	0.0036495029989925204	0.005129435749779031	0.0016321073579673244	0.002293953404544703
mistralaiMistral-7B-v0.1	unfun/RoBERTA-swap	0.7167325428194994	0.6986666666666667	0.6947799615772667	0.6896	0.038615196377246926	0.02047263756551385	0.017269240812805547	0.009155641855040954
mistralaiMistral-7B-v0.1	unfun/Unfun Players	0.8010752688172043	0.8026666666666666	0.7980982392355678	0.8010666666666667	0.012776363306053883	0.010203267450511434	0.005713763371514086	0.004563039922390907
roberta-base	satire/ChatGPT-3.5	0.4483985765124555	0.5866666666666667	0.47606012287855315	0.5925333333333332	0.045505855783244134	0.008499934640271574	0.02035083738112716	0.003801286331990492
roberta-base	satire/GPT-4	0.47017543859649125	0.5973333333333334	0.49132208272984385	0.6058666666666667	0.041399777440661915	0.014125784147358942	0.01851454332213646	0.0063172427177966995
roberta-base	satire/Mistral	0.43717728055077454	0.5626666666666666	0.4417685013594278	0.5656000000000001	0.056696118516167356	0.008193222131059864	0.025355275012506943	0.0036641203279611095
roberta-base	satire/Mistral Instruct	0.4707903780068729	0.588	0.48375239447622487	0.588	0.029658496065599144	0.008682037651253199	0.013263682662617949	0.0038827252742829528
roberta-base	unfun/ChatGPT-3.5	0.6867167919799498	0.6586666666666666	0.6884870372113758	0.6610666666666666	0.005128782664446902	0.008236504112789604	0.0022936613359051533	0.00368347661863083
roberta-base	unfun/GPT-4	0.7146529562982004	0.6986666666666667	0.7096839663723629	0.6957333333333333	0.013616180775719135	0.010133333333333336	0.00608934116168676	0.004531764434399575
roberta-base	unfun/Mistral	0.6398996235884566	0.6173333333333333	0.6223085929910985	0.6218666666666667	0.036153429106344476	0.006984427121978053	0.016168305020301144	0.0031235307657272284
roberta-base	unfun/Mistral Instruct	0.6422764227642277	0.6466666666666666	0.6323703759023718	0.6407999999999999	0.03136424222501166	0.01223764683262267	0.014026515535579065	0.005472842040475856
roberta-base	unfun/News Headlines	0.6816568047337278	0.6413333333333333	0.6840735197912822	0.6429333333333334	0.011771679757698187	0.0039009970235540617	0.0052644552295142795	0.001744578904938246
roberta-base	unfun/RoBERTA-swap	0.6472819216182049	0.6266666666666667	0.6463988404426259	0.6216	0.012969784816611695	0.01672576189927116	0.005800264100697678	0.007479988116449261
roberta-base	unfun/Unfun Players	0.7263157894736841	0.7266666666666667	0.7242313593525264	0.7290666666666666	0.014161435547675101	0.009884668262853676	0.0063331865087166974	0.004420558034155115
roberta-large	satire/ChatGPT-3.5	0.5672131147540984	0.648	0.5529793330582355	0.6432	0.042727578172602886	0.01587954659302334	0.019108353861575257	0.007101549126775075
roberta-large	satire/GPT-4	0.573208722741433	0.6346666666666667	0.5542750637830591	0.6368	0.046777056196483376	0.017498698364291094	0.020919335488532916	0.007825655812063853
roberta-large	satire/Mistral	0.5799373040752351	0.6226666666666667	0.5835892583282352	0.6146666666666667	0.045827573220366555	0.021216345899643857	0.020494713792917712	0.009488238333150519
roberta-large	satire/Mistral Instruct	0.5566037735849056	0.624	0.5583470549201092	0.6199999999999999	0.02100681820309471	0.015640403518522843	0.009394534698619951	0.006994601092588794
roberta-large	unfun/ChatGPT-3.5	0.7038413878562577	0.6746666666666666	0.7054918971991307	0.6757333333333333	0.005699739769056931	0.004873511168665885	0.0025490011155340497	0.002179500452448272
roberta-large	unfun/GPT-4	0.7258883248730965	0.712	0.723393241098715	0.7109333333333333	0.01069731381323117	0.011482160075525872	0.004783984172606477	0.005134978091481994
roberta-large	unfun/Mistral	0.6759493670886076	0.6573333333333333	0.6731294184883712	0.6519999999999999	0.014011952305612302	0.01868570457744517	0.006266335570566803	0.008356501128529276
roberta-large	unfun/Mistral Instruct	0.6417704011065006	0.6546666666666666	0.6270236052694877	0.6565333333333334	0.032931957713541495	0.01318854722013677	0.014727619215925464	0.00589809762173834
roberta-large	unfun/News Headlines	0.7203579418344519	0.68	0.7180647223629891	0.6762666666666667	0.003294565059616906	0.01057964502660129	0.00147337428591981	0.004731361091459611
roberta-large	unfun/RoBERTA-swap	0.6544502617801047	0.648	0.6567638610598909	0.6442666666666667	0.010237489637660309	0.01735178505066395	0.004578344549751628	0.007759954180849845
roberta-large	unfun/Unfun Players	0.7862068965517242	0.784	0.7795868132585173	0.7821333333333333	0.012652454148652804	0.010884443537044578	0.005658349511717379	0.004867671129217985
